No,Month,Monthly Ridership in '000
1,Jan-91,1709
2,Feb-91,1621
3,Mar-91,1973
4,Apr-91,1812
5,May-91,1975
6,Jun-91,1862
7,Jul-91,1940
8,Aug-91,2013
9,Sep-91,1596
10,Oct-91,1725
11,Nov-91,1676
12,Dec-91,1814
13,Jan-92,1615
14,Feb-92,1557
15,Mar-92,1891
16,Apr-92,1956
17,May-92,1885
18,Jun-92,1623
19,Jul-92,1903
20,Aug-92,1997
21,Sep-92,1704
22,Oct-92,1810
23,Nov-92,1862
24,Dec-92,1875
25,Jan-93,1705
26,Feb-93,1619
27,Mar-93,1837
28,Apr-93,1957
29,May-93,1917
30,Jun-93,1882
31,Jul-93,1933
32,Aug-93,1996
33,Sep-93,1673
34,Oct-93,1753
35,Nov-93,1720
36,Dec-93,1734
37,Jan-94,1563
38,Feb-94,1574
39,Mar-94,1903
40,Apr-94,1834
41,May-94,1831
42,Jun-94,1776
43,Jul-94,1868
44,Aug-94,1907
45,Sep-94,1686
46,Oct-94,1779
47,Nov-94,1776
48,Dec-94,1783
49,Jan-95,1548
50,Feb-95,1497
51,Mar-95,1798
52,Apr-95,1733
53,May-95,1772
54,Jun-95,1761
55,Jul-95,1792
56,Aug-95,1875
57,Sep-95,1571
58,Oct-95,1647
59,Nov-95,1673
60,Dec-95,1657
61,Jan-96,1382
62,Feb-96,1361
63,Mar-96,1559
64,Apr-96,1608
65,May-96,1697
66,Jun-96,1693
67,Jul-96,1836
68,Aug-96,1943
69,Sep-96,1551
70,Oct-96,1687
71,Nov-96,1576
72,Dec-96,1700
73,Jan-97,1397
74,Feb-97,1372
75,Mar-97,1708
76,Apr-97,1655
77,May-97,1763
78,Jun-97,1776
79,Jul-97,1934
80,Aug-97,2008
81,Sep-97,1616
82,Oct-97,1774
83,Nov-97,1732
84,Dec-97,1797
85,Jan-98,1570
86,Feb-98,1413
87,Mar-98,1755
88,Apr-98,1825
89,May-98,1843
90,Jun-98,1826
91,Jul-98,1968
92,Aug-98,1922
93,Sep-98,1670
94,Oct-98,1791
95,Nov-98,1817
96,Dec-98,1847
97,Jan-99,1599
98,Feb-99,1549
99,Mar-99,1832
100,Apr-99,1840
101,May-99,1846
102,Jun-99,1865
103,Jul-99,1966
104,Aug-99,1949
105,Sep-99,1607
106,Oct-99,1804
107,Nov-99,1850
108,Dec-99,1836
109,Jan-00,1542
110,Feb-00,1617
111,Mar-00,1920
112,Apr-00,1971
113,May-00,1992
114,Jun-00,2010
115,Jul-00,2054
116,Aug-00,2097
117,Sep-00,1824
118,Oct-00,1977
119,Nov-00,1981
120,Dec-00,2000
121,Jan-01,1683
122,Feb-01,1663
123,Mar-01,2008
124,Apr-01,2024
125,May-01,2047
126,Jun-01,2073
127,Jul-01,2127
128,Aug-01,2203
129,Sep-01,1708
130,Oct-01,1951
131,Nov-01,1974
132,Dec-01,1985
133,Jan-02,1760
134,Feb-02,1771
135,Mar-02,2020
136,Apr-02,2048
137,May-02,2069
138,Jun-02,1994
139,Jul-02,2075
140,Aug-02,2027
141,Sep-02,1734
142,Oct-02,1917
143,Nov-02,1858
144,Dec-02,1996
145,Jan-03,1778
146,Feb-03,1749
147,Mar-03,2066
148,Apr-03,2099
149,May-03,2105
150,Jun-03,2130
151,Jul-03,2223
152,Aug-03,2174
153,Sep-03,1931
154,Oct-03,2121
155,Nov-03,2076
156,Dec-03,2141
157,Jan-04,1832
158,Feb-04,1838
159,Mar-04,2132
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
