"","x"
"GunsandCoffee70",0.000000108707846358418
"YazeedDhardaa25",0.000000109286464303106
"BaqiyaIs",0.000000108492441114643
"abubakerdimshqi",0.000000109395641590123
"WhiteCat_7",0.000000141212740665344
"warreporter2",0.000000109468547715807
"al_nusra",0.000000108170929106071
"abuhanzalah10",0.000000108349311245098
"Bajwa47online",0.000000108960236051455
"AsimAbuMerjem",0.000000128063650707929
"AbuLaythAlHindi",0.000000108028645739934
"abdlrhmn15",0.000000109908033354011
"MaghrabiArabi",0.000000138716495111353
"NaseemAhmed50",0.000000131235386939664
"CXaafada2",0.000000109651238883557
"maisaraghereeb",0.000000108242211431676
"Abu_Azzzam25",0.000000110611124249255
"darulhijrateyni",0.00000012561469551249
"BilalIbnRabah1",0.000000108385058295987
"JoinISNation102",0.000000108456623207375
"abuhumayra4",0.000000111663635185077
"fahadslay614",0.000000107922178612069
"ismailmahsud",0.000000109468547715807
"06230550_IS",0.000000109286464303106
"Alwala_bara",0.000000109944816497703
"bintraveller",0.000000107957644329654
"RamiAlLolah",0.000000133476010289933
"mobi_ayubi",0.000000138021729036846
"QassamiMarwan",0.000000109322832510861
"Al_Battar_Engl",0.000000107922178612069
"Witness_alHaqq",0.000000109141233121308
"warrnews",0.000000124857194583695
"AbuNaseeha_03",0.0000001088158700547
"_IshfaqAhmad",0.000000132239186305839
"Uncle_SamCoco",0.000000154512817224471
"MaghrebiQM",0.000000109944816497703
"ansarakhilafa",0.000000108528188460502
"Fidaee_Fulaani",0.000000109908033354011
"Battar_English",0.000000107993133364608
"AbdusMujahid149",0.000000108242211431676
"1515Ummah",0.000000109213776575261
"newerajihadi61",0.000000108028645739934
"mustaklash",0.000000107993133364608
"ManKhalfahum",0.000000108064146445073
"grezz10",0.000000108456599681702
"MhzBnt",0.000000108924108652234
"FidaeeFulaani",0.000000110055023109354
"WarReporter1",0.000000137440872936463
"ks48a174031",0.000000108277887836235
"mustafaklash56",0.000000108170929106071
"dieinurage29__7",0.000000109249714475871
"baaqiya_01",0.000000108960141072874
"lNSlDEWAR",0.000000109395641590123
"moustiklash",0.000000108600036924013
"MilkSheikh2",0.000000113123515607369
"klakishinki",0.000000108564147949484
"JohnsonsBot",0.000000108242211431676
"432Mryam",0.000000109250072542048
"c0n0fj1had4_",0.000000108277887836235
"DabiqsweetsMan",0.000000108099740603862
"Dieinurage308",0.000000108170929106071
"abuayisha102",0.000000108099740603862
"EPlC24",0.000000109944816497703
"Freedom_speech2",0.000000108960236051455
"thefIamesofhaqq",0.000000126583528293064
"IbnKashmir_",0.0000001293786589902
"Abu_Ibn_Taha",0.000000108528282687525
"Baqiyah_Khilafa",0.000000109834540854275
"MaghrebiHD",0.000000108313587766284
"alamreeki4",0.00000013953345593673
"Jazrawi_Joulan",0.000000108313587766284
"wayyf44rer",0.000000108349311245098
"abuayisha108",0.000000109468403915641
"squadsquaaaaad",0.000000108349311245098
"abutariq040",0.000000109651238883557
"MaghrebiQ",0.000000108099740603862
"sonofshishan",0.00000012518591673459
"safiyaimback",0.000000126242239416135
"wayf44rerr",0.00000012485487181837
"DawlaWitness11",0.000000108996387423735
"Jazrawi_Saraqib",0.00000012590571852442
"MaghrebiWM",0.000000109141233121308
"k_kid04",0.000000107922178612069
"abutariq041",0.000000108635949634636
"saifulakhir",0.00000010820655852936
"emran_getu",0.000000107922178612069
"war_analysis",0.000000110797394444153
"melvynlion",0.000000128310869521703
"Nidalgazaui",0.000000125952214485537
"al_zaishan10",0.000000107957644329654
"ro34th",0.000000111361054811911
"Suspend_Me_fags",0.000000108743830418781
"Afriqqiya_252",0.000000108135323138623
"murasil1",0.000000124857272530339
"btt_ar",0.000000107886736188879
"__alfresco__",0.000000124857911696489
"st3erer",0.000000124854030032139
"AbuMusab_110",0.000000109286356811431
"kIakishini5",0.000000125085276887518
"freelance_112",0.000000108277887836235
"nvor85j",0.000000108028645739934
"Mountainjjoool",0.000000125423869968559
"wayff44rer",0.000000108028645739934
"khalidmaghrebi",0.000000107886736188879
"seifulmaslul123",0.000000107886736188879
"cheerleadunited",0.000000107886736188879
"ibnnabih1",0.000000107886736188879
"muwmedia",0.000000107886736188879
"dawlat_islam7",0.000000107886736188879
"khalidmaghrebi_",0.000000107886736188879
"polder_mujahid",0.000000107886736188879
"abuw_ukasyah",0.000000107886736188879
"polder_mujaahid",0.000000107886736188879
"abuizzadeen2",0.000000107886736188879
"abdirahmanbash2",0.000000107886736188879
"ansardeenfront",0.000000107886736188879
"a8531",0.000000107886736188879
"emerat_aq_islam",0.000000107886736188879
"_khalidmaghrebi",0.000000107886736188879
"abuhamzaneh",0.000000107886736188879
"50w30",0.000000107886736188879
"jn_irhabiyya_97",0.000000107886736188879
"aba_m0hammed",0.000000107886736188879
"giimedia_ch004",0.000000107886736188879
"yazeeddhardaa25",0.000000107886736188879
"ibn_nuhas",0.000000107886736188879
"jazrawi_uod",0.000000107886736188879
"striv3ride",0.000000107886736188879
"afroqaqaisback",0.000000107886736188879
"baqiya58",0.000000107886736188879
"umulbanat1",0.000000107886736188879
"aljabarti22",0.000000107886736188879
"ummaysha20___",0.000000107886736188879
"abtigood",0.000000107886736188879
"asadalkanadi10",0.000000107886736188879
"bintrose33",0.000000107886736188879
"abuhaleema28",0.000000107886736188879
