"","eigen_centrality(ats.graph)$vector"
"GunsandCoffee70",0.00000107256931736946
"YazeedDhardaa25",0.0293923048296223
"BaqiyaIs",0.0000684218501388125
"abubakerdimshqi",0.000662381929630857
"WhiteCat_7",0.01298438202725
"warreporter2",0.0183197299173023
"al_nusra",0.0000351152348101739
"abuhanzalah10",0.025417785001243
"Bajwa47online",0.0190706889992493
"AsimAbuMerjem",0.142319353518264
"AbuLaythAlHindi",0.000000189536649282664
"abdlrhmn15",0.00956485869103138
"MaghrabiArabi",0.060389139986163
"NaseemAhmed50",0.13824636522189
"CXaafada2",0.00043385678640967
"maisaraghereeb",0.109081742615615
"Abu_Azzzam25",0.128672319411017
"darulhijrateyni",0.0251745203428339
"BilalIbnRabah1",0.00418520733505447
"JoinISNation102",0.0213687265619014
"abuhumayra4",0.00942802654150649
"fahadslay614",0
"ismailmahsud",0.058781329328387
"06230550_IS",0.0007045004697662
"Alwala_bara",0.00657991215659337
"bintraveller",0.000491610427681891
"RamiAlLolah",0.0112304424822364
"mobi_ayubi",1
"QassamiMarwan",0.016640191032699
"Al_Battar_Engl",0
"Witness_alHaqq",0.0281890169867221
"warrnews",0.620298184368956
"AbuNaseeha_03",0.0116616751749347
"_IshfaqAhmad",0.0477409940432956
"Uncle_SamCoco",0.243186030435458
"MaghrebiQM",0.0126273082634319
"ansarakhilafa",0.000488161686102971
"Fidaee_Fulaani",0.02348352750997
"Battar_English",0.0000654633209551247
"AbdusMujahid149",0.0000670248936227061
"1515Ummah",0.013399899464146
"newerajihadi61",0.000384148149740276
"mustaklash",0.00402992704090572
"ManKhalfahum",0.0000461900099488516
"grezz10",0.00800291017440671
"MhzBnt",0.000370795866086962
"FidaeeFulaani",0.012197262201876
"WarReporter1",0.374898830047337
"ks48a174031",0.00736866901613531
"mustafaklash56",0.00171132358966314
"dieinurage29__7",0.0000206167213460844
"baaqiya_01",0.0000211428543202799
"lNSlDEWAR",0.0204793483523308
"moustiklash",0.00300406622336355
"MilkSheikh2",0.00341693755188032
"klakishinki",0.0117834980487996
"JohnsonsBot",0.0076457292895229
"432Mryam",0.000145976048872597
"c0n0fj1had4_",0.000634453004207697
"DabiqsweetsMan",0.0219823902824426
"Dieinurage308",0.000000820076376396017
"abuayisha102",0.000151786680416518
"EPlC24",0.0212001520315014
"Freedom_speech2",0.0167664287482358
"thefIamesofhaqq",0.0443677386798399
"IbnKashmir_",0.0479589752398187
"Abu_Ibn_Taha",0.000787346748349308
"Baqiyah_Khilafa",0.0140751861925968
"MaghrebiHD",0.000689191883635278
"alamreeki4",0.0107980362155224
"Jazrawi_Joulan",0.000467424874278531
"wayyf44rer",0.0231505936552087
"abuayisha108",0.00454218419854994
"squadsquaaaaad",0.000521138718919366
"abutariq040",0.011000210644318
"MaghrebiQ",0.000321319615524431
"sonofshishan",0.0073577380348624
"safiyaimback",0.0112860904751255
"wayf44rerr",0.0771908238997979
"DawlaWitness11",0.00099882014398772
"Jazrawi_Saraqib",0.00915921962064136
"MaghrebiWM",0.00923926941003979
"k_kid04",0
"abutariq041",0.000820122735969977
"saifulakhir",0.00290949875956156
"emran_getu",0.000403717511760628
"war_analysis",0.0885062299692631
"melvynlion",0.0270848969556097
"Nidalgazaui",0.0243669715315737
"al_zaishan10",0.00016294674766764
"ro34th",0.110944151878869
"Suspend_Me_fags",0.00264283534236604
"Afriqqiya_252",0.000000501670452251273
"murasil1",0.0228920194207142
"btt_ar",0
"__alfresco__",0.0605519435498571
"st3erer",0.0136885666054716
"AbuMusab_110",0.00123484383137869
"kIakishini5",0.0000676019096912541
"freelance_112",0.000576933402826877
"nvor85j",0.000192428686149919
"Mountainjjoool",0.0076253487395108
"wayff44rer",0.0000605943040996381
"khalidmaghrebi",0.00000000819556016360715
"seifulmaslul123",0.00000000819556016375135
"cheerleadunited",0.00000000819556016349669
"ibnnabih1",0.0000000368800207363841
"muwmedia",0.0000000163911203275191
"dawlat_islam7",0.00000000409778008187137
"khalidmaghrebi_",0.0000000204889004091459
"polder_mujahid",0.0000000204889004091042
"abuw_ukasyah",0.00000000409778008186732
"polder_mujaahid",0.00000000409778008182248
"abuizzadeen2",0.000279968192157906
"abdirahmanbash2",0.0000000122933402454912
"ansardeenfront",0.00000000409778008187073
"a8531",0.00000000409778008185409
"emerat_aq_islam",0.00000000409778008181538
"_khalidmaghrebi",0.00000000819556016371222
"abuhamzaneh",0.00000000409778008188226
"50w30",0.00000000409778008177574
"jn_irhabiyya_97",0.00000000409778008183327
"aba_m0hammed",0.00000000409778008184288
"giimedia_ch004",0.00000000819556016364383
"yazeeddhardaa25",0.000224588190995395
"ibn_nuhas",0.000112294095497697
"jazrawi_uod",0.000112294095497697
"striv3ride",0.000112294095497697
"afroqaqaisback",0.000112294095497697
"baqiya58",0.000112294095497697
"umulbanat1",0.000112294095497697
"aljabarti22",0.000112294095497698
"ummaysha20___",0.000112294095497698
"abtigood",0.000224588190995395
"asadalkanadi10",0.000112294095497697
"bintrose33",0.000112294095497697
"abuhaleema28",0.000112294095497697
"skxxx50",0.000112294095497697
"_muslimah1___",0.000112294095497698
"jasonphedo",0.000112294095497697
"aljabali23",0.000112294095497698
"abdullahkayaniw",0.000112294095497697
"checkcontentt",0.000112294095497698
"skxx51",0.000561470477488487
"striv3ric",0.000674025980515063
"war_reports",0.00044917638199079
"abuyaqub6",0.000000261407528878637
"alwalawalbara12",0.000000261407528878532
"cnn",0.00169032972334285
"anti__terrorist",0.000000261407528878576
"followthehaqqq",0.000000261407528878602
"3diyah1000",0.000000261407528878592
"tawheed1_is",0.00000253064807584911
"ironmuhajir2",0.00000253064807584919
"jundhullah14",0.00000253064807584907
"jazrawi_missk",0.000000261407528878565
"pieternanninga",0.0207180098299391
"uygaraktas",0.000000261407528878586
"muslimprisoners",0.00373295330772361
"3bdulkaed6r",0.000112294095497698
"syrializer",0.000112294095497697
"ak47_pk",0.00000156844517327113
"spamci16",0.000000261407528878612
"flea1337",0.000000261407528878483
"1436rpg",0.000000261407528878605
"mustafaklashin7",0.000000261407528878484
"joinisnation78",0.000000261407528878558
"abubakrmuwahid",0.000000261407528878552
"jazrawi_ouud",0.000224849598524273
"alarabiya_eng",0.0169973236449944
"jtmharreh",0.000224588190995395
"bintrosie34",0.000786058668483882
"ramiallolah",0.942507268961774
"sakirkhader",0.017110623153578
"zaheralali00",0.000112294095497697
"_mafalde_",0.000112294095497697
"the_joker_dc",0.000112294095497698
"anjemchoudary",0.000661951605613554
"fujiomaiko",0.00089835276398158
"isabatubaghdadi",0.000112294095497697
"truthfulfamily2",0.000112294095497697
"potus",0.00154460521459317
"markito0171",0.0535069458431641
"ejmalrai",0.013773120355757
"akhmad_john",0.00000253064807584909
"rahimred1",0.00000253064807584912
"islamiceyes",0.00000253064807584904
"aimanofarabia",0.00186072826025519
"ayyx3",0.00000253064807584911
"_ummhussain",0.00000253064807584924
"iraqisuryani1",0.00000253064807584915
"w_jurjia",0.00000253064807584907
"pray4pal",0.00000253064807584903
"khadijavf",0.0000496071826894326
"joinisnation82",0.0000496071826894325
"princessbaqiya2",0.0000992143653788649
"jazrawi_3uud",0.0000496071826894324
"endoftimes411",0.0000496071826894325
"wakasfahad10",0.0000496071826894324
"lionerr20",0.0000496071826894325
"skjfgyi7r6",0.0000496071826894325
"w97788",0.0000496071826894326
"_croxetti_",0.000446464644204892
"proj32",0.000545679009583755
"wilayathalab",0.000595286192273187
"abu_q_14",0.0000992143653788649
"abu_adamm",0.000595286192273188
"netzpolitik",0.0000496071826894324
"amanlikeme",0.000148821548068297
"eyeonmilitant",0.0000992143653788649
"jihadology_net",0.00197889750415047
"skxx59",0.0000992143653788649
"ibnu_noran8",0.000496071826894323
"etdz101010",0.000496071826894324
"haditha21",0.000545679009583756
"conflicts",0.0962012601653652
"rt_com",0.0101724322830199
"mrrman2",0.0000992143653788653
"shooter19681",0.0000496071826894326
"applesux",0.00010080186098393
"drovera",0.0000747459150332208
"sean_ulama",0.0000496071826894325
"terror_monitor",0.0392856354598617
"adnan04ar01",0.0000496079068193247
"danieleraineri",0.0117780921678708
"wilayatninawa",0.000992143653788648
"coalitionhaqq",0.0000992143653788653
"abu_naoufal",0.000148821548068297
"shammlly12",0.000248035913447162
"somaliyyah",0.000519324727281135
"11_haqqprevails",0.000297643096136595
"doammuslims",0.00287370563018782
"hk2307",0.000146716517694454
"hxhassan",0.0073741488674229
"adjamessaoud",0.00000253064807584903
"theeconomist",0.00580850445275729
"hadialabdallah",0.00451964726986507
"oooharray",0.000000134158704259392
"journalist_omar",0.000000134158704259218
"tawheednetwrk",0.00000253064807584915
"ummumarah2",0.000146610769582988
"abuhanzalah2",0.0000971093350050218
"khaled_siddique",0.00000253064807584923
"abdussamad_aif",0.000288962693698179
"ukhty_08",0.000000402476112777958
"uanigeri",0.0000500096588022101
"ozwitness",0.000000134158704259331
"alekskhlebnikov",0.000291328005015065
"carolinajose19",0.000097109335005022
"ninjamelonn",0.000097109335005022
"taylor_davis11",0.000097109335005022
"rsyriancivilwar",0.000097109335005022
"krrisstenx3",0.0000971093350050219
"wtfbrou",0.0000971093350050219
"katielobosco",0.0000971093350050219
"g_beeazy",0.0000971093350050219
"iucanalysts",0.000072860083076244
"basmirnes",0.000072860083076244
"jsiwat",0.00185225726066221
"belalmd12",0.000072860083076244
"reuters",0.014946301234343
"almuwahideen__",0.000072860083076244
"desyracuse",0.0124554077162227
"khalidi4sham_",0.0000699910235944562
"brotherjalaal",0.000349955117972281
"malcolmite",0.0739521929367438
"jazrawi_3uuud",0.000072860083076244
"rashaelass",0.0000728600830762441
"wikileaks",0.00150817928171707
"jazrawi_3ooud",0.000072860083076244
"muhammad_andals",0.000072860083076244
"thestudyofwar",0.00133461075731813
"bajwa47online",0.00145720166152488
"daudoo",0.0220242896436029
"finriswolf",0.00105156607185534
"defense_news",0.000978705988779101
"dhul_kifl4017",0.0000496071826894325
"raqqa_sl",0.0102944683453855
"israelhatzolah",0.0155935335177691
"husnisalaaan",0.0000496071826894324
"eplc5",0.0000496071826894325
"lina24379244",0.0000496071826894325
"abuhaleema75",0.0000496071826894326
"iislamic03",0.0000496071826894325
"khadijaislam21",0.0000496071826894327
"ummamira19th",0.0000496071826894324
"ummfatima777",0.0000496071826894326
"casaouia",0.0000496071826894325
"skxx66x",0.0000728600830762439
"afp",0.0334189986470332
"skx66x",0.000145720166152488
"war__tracker",0.0000728600830762439
"jihad67a",0.000145720166152488
"rt_america",0.000145720166152488
"__oo1muslliimah",0.000072860083076244
"naseemahmed50",0.0146072536803855
"kushrenada_nl",0.000072860083076244
"almuwmed",0.00000000409778008188195
"dmis_1u",0.0000000040977800819227
"pinoynewslive",0.0000496071826894326
"inqnational",0.0000496071826894325
"allananawal",0.0000496071826894326
"victorynewshd",0.00445191390510709
"dawahakh2",0.0000699910235944561
"imarat_1",0.0000699910235944561
"speedy_villain",0.000072860083076244
"shabirmaiwand",0.0000699910235944563
"al_fatih_18",0.00000506129615169801
"ib_ra18_fatih",0.00000253064807584911
"hifztipz",0.00000253064807584909
"the_muwahhid",0.00112138744485729
"ilami_muhammed",0.0000699910235944563
"abuhajar1437",0.00000253064807584918
"hamza35209826",0.0000728600830762439
"umm_arbi",0.000543734939052624
"dailysabah",0.00951115773150769
"greekanalyst",0.000543991009471352
"didyouknowvs",0.00776083371673265
"abedalii",0.0000025306480758491
"gazasamah",0.00000253064807584911
"pashtunist",0.01153157215668
"zaouguichams",0.000543734939052623
"nidalgazaui",0.666713841325204
"ibnamaan",0.000000000724129892415654
"milatu_ibrahiim",0.000000000724129892408712
"abu_tropical",0.000000000724129892451226
"baqiya101",0.0000730856026091656
"__kebab_ayran__",0.000146171205218331
"tracterrorism",0.0423398819474153
"ismedia_3",0.0000365428013045828
"skxx82x",0.0000365428013045828
"ahmadalanssari4",0.0000365428013045827
"amirbakistani47",0.0000365428013045829
"musliimah_9_11_",0.0000365428013045828
"bringerpeace",0.0015658764425537
"abujayyid1",0.00150230214268993
"saeed_alhalabi7",0.000279964094377825
"saqrqaa3d",0.0000699910235944562
"khalidi4sham3",0.000139982047188913
"ibnqitalll",0.00389051806795632
"child_lamb",0.0108746987810525
"akhijibran",0.0108746987810525
"dread_muslem",0.0000699910235944561
"arabthomness",0.0273155731059994
"leithfadel",0.0195403934040226
"f1ea1337",0.00337558510271003
"syrkid",0.000543734939052623
"abuchair1",0.0000699910235944562
"umar_khurasani",0.000760141873043476
"sunrayeurope",0.000543734939052623
"ans__ans",0.000543734939052623
"nwrowser",0.000543734939052623
"shabbirghewalla",0.0000699910235944563
"ramisafadi93",0.0150838261605085
"maghrebimws",0.000139982047188912
"marquardta",0.000543734939052623
"altafhussain195",0.000000134158704259348
"ihatealsaud",0.0000365428013045828
"abu_ibrahim32",0.0000365428013045828
"absialbaghdadi",0.000272233828565038
"c36__abh",0.000543734939052624
"lion_faisal",0.00913443338942173
"maghrebimwss",0.00072065550766408
"aejkhalil",0.00684300185417232
"mailonline",0.00300524236905804
"nutsflipped_z_1",0.00000253064807584902
"avuxeni_",0.00000253064807584906
"j_top_shelf",0.000230718342502887
"sputnikint",0.00856987882960043
"mrsandman147",0.000528173977114957
"bi_defense",0.000528173977114957
"scottienhughes",0.000230718342502887
"realdonaldtrump",0.00262028277355648
"lanurse1",0.000230718342502888
"stateofukraine",0.000230718342502888
"julianroepcke",0.0212662851562479
"lompemann",0.000230718342502887
"thearabsource",0.0418230643626989
"abduhark",0.0420519373725693
"ajarabic",0.000817359490779043
"alghadalarabi",0.000230718342502887
"mediarootsnews",0.000230718342502887
"sarbarzi",0.000528173977114957
"dxk16",0.000001657561585856
"putrisyarqy17",0.00000165756158585594
"aliramyz",0.00158452193134487
"ebrahym2039",0.00105634795422991
"eplc16",0.000528173977114957
"ifayaz",0.00158452193134487
"adhleem",0.000528173977114957
"ishaaqnewton",0.0002340334656746
"iyad_elbaghdadi",0.013920797174488
"ladonnarae53",0.00489361445147361
"wayf44rer16",0.00000165756158585605
"majertenyyyi",0.00000165756158585589
"ishaaqnewtonξuganda",0.00000165756158585606
"imtiazislamkhan",0.00000663024634342351
"islamca8",0.00000165756158585587
"akata_politik",0.00000331512317171211
"freeoursisters1",0.00100270762314674
"harunmaruf",0.00391836454174635
"omarkhattabharu",0.00000165756158585595
"mahfujhindi",0.0000830455259203083
"victoryseries1",0.0000699910235944563
"ajenews",0.0210701259940584
"andalusigranada",0.0007047506972946
"revolutionsyria",0.00568330712710882
"amaramarasingam",0.00526412713067456
"crimesofus",0.00105634795422991
"crimesofbrits",0.000528173977114957
"maxboot",0.00143396868068132
"sshx_m",0.00000165756158585598
"johndatripp3r",0.00000165756158585597
"iscomedygold",0.0000016575615858559
"_____caliph____",0.000230718342502887
"laughwithmeh27",0.00000165756158585596
"warontherocks",0.000230718342502888
"gerfingerpoken",0.000230718342502887
"ibdinvestors",0.000230718342502887
"ibrahimh_",0.000230718342502887
"skx90x",0.00000165756158585603
"_ummsayfullah_",0.00000828780792927965
"grayfr0",0.00000165756158585583
"two_umm",0.00000497268475756751
"davidols",0.000230718342502887
"learnsomethlng",0.000461436685005775
"qashrinaazri",0.000230718342502887
"ms_whitekitten_",0.00000331512317171185
"bintsannd",0.00000165756158585584
"j_eielamiya5",0.00000165756158585593
"reynaldo_vegas1",0.00000253064807584918
"muhammad1187",0.00000253064807584911
"bssjd1",0.00000253064807584914
"redbandanna11",0.0000025306480758491
"mujahid_deen6",0.00000253064807584912
"___khilafah___",0.000230718342502887
"wilayatbarkah",0.00000165756158585595
"greatisnation97",0.000230718342502887
"don85375",0.000230718342502887
"bbcworld",0.00111983617954822
"cyanidemadrid",0.000461436685005774
"dkimball12",0.00445878194363238
"darealsinbad",0.000528173977114956
"hamzabosnawi",0.000528173977114956
"muslimwitness4",0.000528173977114957
"nextbee23",0.000528173977114957
"ks40a45981",0.000230718342502887
"free_media_hub",0.0100175318054668
"khawarijcrucifi",0.000139982047188912
"dyk_history",0.000139982047188913
"atheistinformer",0.000230718342502887
"abuayisha28",0.000692155027508663
"nocommiesplease",0.000230718342502887
"godlesshussar",0.000230718342502887
"themightywu22",0.000230718342502887
"alsaudthejews",0.000461436685005775
"abu_yusef90",0.00000253064807584908
"akaomar157",0.000230718342502887
"youtube",0.00514740309816042
"elwalaawalbaraa",0.0000365428013045828
"mindv1sion",0.000230718342502887
"sheikhquotes",0.000528173977114957
"ac360",0.000230718342502887
"timeworld",0.00105634795422991
"m_seloom",0.00226025253263878
"qassamimarwan",0.0025288690768039
"zeropoint164",0.00291724823396353
"skynews",0.000866441578624329
"hanisalaad1",0.000528173977114956
"abpnewstv",0.00119635994989714
"ajenglish",0.00480266052444536
"middleeasteye",0.0475483980804994
"furcoisorin",0.0000365428013045828
"p_strickland_",0.0000365428013045828
"bbassem7",0.00382305769243771
"moonnor27",0.0191318956757604
"bintemergent",0.0000365428013045829
"islamicfreedom",0.000140579088059786
"dmjolley",0.000230718342502888
"brrreaking_news",0.000230718342502888
"asgharbukhari",0.0000699910235944561
"arbaramzi18",0.000528173977114957
"mustho",0.000528173977114956
"nasheedhunter",0.0012870662967328
"hearthasstereo",0.00303239401237801
"thevictoryseri4",0.00455771108868646
"faysalalsomali",0.00000165756158585589
"abdullahazam175",0.00147283374514229
"majstar7",0.00056471677841954
"ridvan_memishi",0.00054539250063848
"eddie1971nyc",0.00153035838581379
"cnni",0.000654583475169892
"muslimah206",0.000491596076170556
"saifak21",0.000491596076170555
"abu__sayfillaah",0.000491596076170556
"ahmed97shaheed",0.00431212312053241
"newsweekeurope",0.00166302946159836
"vali_nasr",0.000455294000905529
"jobywarrick",0.000230718342502887
"vicenews",0.00692128692827064
"daily_express",0.0000365428013045829
"alternet",0.000614411604885617
"abocomedy",0.000543734939052623
"jewhaditm",0.000491596076170555
"xnxmxjdnx",0.000491596076170556
"abuhaleema156",0.000491596076170556
"unfazedukht",0.000491596076170556
"driftone0017",0.000491596076170556
"richpie1804b",0.000491596076170556
"eneyaxe",0.000491596076170556
"hamosh84",0.000491596076170556
"albequw",0.00000165756158585599
"salafiyyahldn",0.0000365428013045828
"9_11musliimah",0.000491596076170556
"ajplus",0.00142069488226022
"buzzfeednews",0.0000365428013045829
"towersight",0.000230718342502887
"alex_de_m",0.000318177921799781
"oirspox",0.000541106419352593
"sparksofirhabi3",0.00704908662435606
"juliaarciga",0.000230718342502888
"shamireviver",0.0000365428013045827
"ummsalma38",0.00000165756158585593
"jamac78316414",0.00000165756158585593
"whoamidude",0.0140451187216406
"slh_btr15",0.00000331512317171177
"sumal_30",0.00000165756158585595
"fatimatje_96",0.000491596076170556
"p_vanostaeyen",0.0198166922023057
"starsandstripes",0.000230718342502887
"akaomar160",0.000230718342502887
"jond_aqsa7",0.0000699910235944563
"lyobserver",0.00534901809925596
"raqqa_sl1",0.00240937901861464
"lightepisodesss",0.000141449695584034
"khawrijwitness",0.0000699910235944561
"abuhaleema164",0.000163279595466632
"huxxaeen",0.000528173977114956
"reutersworld",0.00879328976508792
"joinisnation101",0.0000816397977333158
"joinisnation102",0.0000816397977333158
"greatisnation00",0.0000816397977333158
"scotmikey1111",0.0145389350612053
"northernstork",0.0171123612704682
"mktala22",0.0000961799357986328
"shaykhgoogie",0.0000961799357986327
"ghazwatwitness",0.000230718342502887
"rabiih",0.000461436685005775
"interbrigades",0.00546204639657375
"cnnpolitics",0.000461436685005775
"vine",0.000230718342502887
"abunaseeha_2",0.000230718342502887
"iraqismcen",0.00790751359018511
"k1nt_is",0.0000816397977333158
"vivarevolt",0.0561074478891231
"deirezzor24",0.00698450805701907
"talalalhaj",0.000416749747709075
"reynaldovegas13",0.000983192152341112
"abu_azzzam25",0.000491596076170556
"palmyrapioneer",0.025591634572255
"fiseebilillah",0.00163120481715787
"haqqk0100",0.00163120481715787
"ivansidorenko1",0.00774422253263523
"schoremis1",0.000692155027508662
"aliraqiaangel",0.000461436685005774
"fisebilillah9",0.0000365428013045828
"ayisha_bengali_",0.0000730856026091655
"tawheed4all",0.00320859801279134
"tedcruz",0.000230718342502887
"the_jihadi",0.00217493975621049
"mustafaklash34",0.0000961799357986327
"muteasde",0.000416749747709075
"minusbeer",0.000461436685005774
"safety",0.000552269384948983
"support",0.00122129028751272
"maghrabiarabi",0.00103491267490854
"zurilinetsky",0.000230718342502887
"imamgoogle",0.000976183199553918
"nikore_",0.0000052222111733544
"valeriodec",0.00000253064807584919
"aboud_s",0.00000253064807584912
"instantreporter",0.00579657310250995
"amnesty",0.00186083804915361
"fleefromdunya",0.0000360200303767848
"anadoluagency",0.00160450727676167
"sayed_ridha",0.0310831403205852
"danielwickham93",0.000528173977114957
"antimajose",0.000528173977114956
"haythamsayfadd1",0.000711402539038562
"wayf44rer_",0.0250979889356093
"maghrebiaz",0.000230718342502887
"independent",0.00513645421742389
"kamalkaroum",0.000416749747709075
"un",0.00227494735988841
"dreadmuslim_",0.0000699910235944561
"alhamdhulillaah",0.00130851211913414
"mustafaklash37",0.0000026915630975053
"baselabuwarda",0.000543734939052623
"dhivehistan",0.00444914416953581
"mahatmadeen3237",0.00105634795422991
"channel4news",0.000266738372879672
"oryxspioenkop",0.00840534270763024
"ctstudies",0.0588450137860367
"smh",0.000528173977114956
"fares14192315",0.00000331512317171191
"dailystarleb",0.0126701230401713
"abunaseeha_02",0.000461436685005774
"monty3444",0.000230718342502887
"amitshah",0.000224575658402641
"bjpgujarat",0.000224575658402641
"hassanistiila",0.000527616106547341
