"","degree(ats.graph, v = V(ats.graph), mode = ""in"", loops = TRUE, normalized = FALSE)"
"GunsandCoffee70",0
"YazeedDhardaa25",0
"BaqiyaIs",0
"abubakerdimshqi",0
"WhiteCat_7",0
"warreporter2",0
"al_nusra",0
"abuhanzalah10",0
"Bajwa47online",0
"AsimAbuMerjem",0
"AbuLaythAlHindi",0
"abdlrhmn15",0
"MaghrabiArabi",0
"NaseemAhmed50",0
"CXaafada2",0
"maisaraghereeb",19
"Abu_Azzzam25",0
"darulhijrateyni",1
"BilalIbnRabah1",0
"JoinISNation102",0
"abuhumayra4",1
"fahadslay614",10
"ismailmahsud",33
"06230550_IS",0
"Alwala_bara",0
"bintraveller",1
"RamiAlLolah",0
"mobi_ayubi",2
"QassamiMarwan",0
"Al_Battar_Engl",0
"Witness_alHaqq",0
"warrnews",38
"AbuNaseeha_03",0
"_IshfaqAhmad",0
"Uncle_SamCoco",0
"MaghrebiQM",0
"ansarakhilafa",2
"Fidaee_Fulaani",0
"Battar_English",0
"AbdusMujahid149",0
"1515Ummah",0
"newerajihadi61",0
"mustaklash",9
"ManKhalfahum",0
"grezz10",0
"MhzBnt",0
"FidaeeFulaani",0
"WarReporter1",0
"ks48a174031",0
"mustafaklash56",5
"dieinurage29__7",0
"baaqiya_01",2
"lNSlDEWAR",0
"moustiklash",11
"MilkSheikh2",0
"klakishinki",1
"JohnsonsBot",0
"432Mryam",0
"c0n0fj1had4_",0
"DabiqsweetsMan",0
"Dieinurage308",0
"abuayisha102",3
"EPlC24",0
"Freedom_speech2",0
"thefIamesofhaqq",0
"IbnKashmir_",0
"Abu_Ibn_Taha",0
"Baqiyah_Khilafa",0
"MaghrebiHD",0
"alamreeki4",0
"Jazrawi_Joulan",0
"wayyf44rer",5
"abuayisha108",0
"squadsquaaaaad",1
"abutariq040",0
"MaghrebiQ",0
"sonofshishan",1
"safiyaimback",0
"wayf44rerr",36
"DawlaWitness11",0
"Jazrawi_Saraqib",0
"MaghrebiWM",0
"k_kid04",0
"abutariq041",1
"saifulakhir",1
"emran_getu",3
"war_analysis",0
"melvynlion",4
"Nidalgazaui",0
"al_zaishan10",0
"ro34th",0
"Suspend_Me_fags",0
"Afriqqiya_252",0
"murasil1",5
"btt_ar",13
"__alfresco__",16
"st3erer",11
"AbuMusab_110",0
"kIakishini5",0
"freelance_112",6
"nvor85j",5
"Mountainjjoool",0
"wayff44rer",0
"khalidmaghrebi",2
"seifulmaslul123",2
"cheerleadunited",2
"ibnnabih1",9
"muwmedia",4
"dawlat_islam7",1
"khalidmaghrebi_",5
"polder_mujahid",5
"abuw_ukasyah",1
"polder_mujaahid",1
"abuizzadeen2",5
"abdirahmanbash2",3
"ansardeenfront",1
"a8531",1
"emerat_aq_islam",1
"_khalidmaghrebi",2
"abuhamzaneh",1
"50w30",1
"jn_irhabiyya_97",1
"aba_m0hammed",1
"giimedia_ch004",2
"yazeeddhardaa25",2
"ibn_nuhas",1
"jazrawi_uod",1
"striv3ride",1
"afroqaqaisback",1
"baqiya58",1
"umulbanat1",1
"aljabarti22",1
"ummaysha20___",1
"abtigood",2
"asadalkanadi10",1
"bintrose33",1
"abuhaleema28",1
"skxxx50",1
"_muslimah1___",1
"jasonphedo",1
"aljabali23",1
"abdullahkayaniw",1
"checkcontentt",1
"skxx51",5
"striv3ric",7
"war_reports",4
"abuyaqub6",1
"alwalawalbara12",1
"cnn",10
"anti__terrorist",1
"followthehaqqq",1
"3diyah1000",1
"tawheed1_is",1
"ironmuhajir2",1
"jundhullah14",1
"jazrawi_missk",1
"pieternanninga",22
"uygaraktas",1
"muslimprisoners",30
"3bdulkaed6r",1
"syrializer",1
"ak47_pk",6
"spamci16",1
"flea1337",1
"1436rpg",1
"mustafaklashin7",1
"joinisnation78",1
"abubakrmuwahid",1
"jazrawi_ouud",3
"alarabiya_eng",21
"jtmharreh",2
"bintrosie34",7
"ramiallolah",565
"sakirkhader",11
"zaheralali00",1
"_mafalde_",1
"the_joker_dc",1
"anjemchoudary",4
"fujiomaiko",8
"isabatubaghdadi",1
"truthfulfamily2",1
"potus",2
"markito0171",44
"ejmalrai",11
"akhmad_john",1
"rahimred1",1
"islamiceyes",1
"aimanofarabia",3
"ayyx3",1
"_ummhussain",1
"iraqisuryani1",1
"w_jurjia",1
"pray4pal",1
"khadijavf",1
"joinisnation82",1
"princessbaqiya2",2
"jazrawi_3uud",1
"endoftimes411",1
"wakasfahad10",1
"lionerr20",1
"skjfgyi7r6",1
"w97788",1
"_croxetti_",9
"proj32",11
"wilayathalab",12
"abu_q_14",2
"abu_adamm",12
"netzpolitik",1
"amanlikeme",3
"eyeonmilitant",2
"jihadology_net",5
"skxx59",2
"ibnu_noran8",10
"etdz101010",10
"haditha21",11
"conflicts",72
"rt_com",12
"mrrman2",2
"shooter19681",1
"applesux",2
"drovera",2
"sean_ulama",1
"terror_monitor",27
"adnan04ar01",2
"danieleraineri",20
"wilayatninawa",20
"coalitionhaqq",2
"abu_naoufal",3
"shammlly12",5
"somaliyyah",10
"11_haqqprevails",6
"doammuslims",7
"hk2307",2
"hxhassan",14
"adjamessaoud",1
"theeconomist",5
"hadialabdallah",8
"oooharray",1
"journalist_omar",1
"tawheednetwrk",1
"ummumarah2",5
"abuhanzalah2",1
"khaled_siddique",1
"abdussamad_aif",4
"ukhty_08",3
"uanigeri",4
"ozwitness",1
"alekskhlebnikov",3
"carolinajose19",1
"ninjamelonn",1
"taylor_davis11",1
"rsyriancivilwar",1
"krrisstenx3",1
"wtfbrou",1
"katielobosco",1
"g_beeazy",1
"iucanalysts",1
"basmirnes",1
"jsiwat",7
"belalmd12",1
"reuters",31
"almuwahideen__",1
"desyracuse",13
"khalidi4sham_",1
"brotherjalaal",5
"malcolmite",32
"jazrawi_3uuud",1
"rashaelass",1
"wikileaks",3
"jazrawi_3ooud",1
"muhammad_andals",1
"thestudyofwar",8
"bajwa47online",20
"daudoo",20
"finriswolf",3
"defense_news",2
"dhul_kifl4017",1
"raqqa_sl",15
"israelhatzolah",12
"husnisalaaan",1
"eplc5",1
"lina24379244",1
"abuhaleema75",1
"iislamic03",1
"khadijaislam21",1
"ummamira19th",1
"ummfatima777",1
"casaouia",1
"skxx66x",1
"afp",43
"skx66x",2
"war__tracker",1
"jihad67a",2
"rt_america",2
"__oo1muslliimah",1
"naseemahmed50",8
"kushrenada_nl",1
"almuwmed",1
"dmis_1u",1
"pinoynewslive",1
"inqnational",1
"allananawal",1
"victorynewshd",11
"dawahakh2",1
"imarat_1",1
"speedy_villain",1
"shabirmaiwand",1
"al_fatih_18",2
"ib_ra18_fatih",1
"hifztipz",1
"the_muwahhid",12
"ilami_muhammed",1
"abuhajar1437",1
"hamza35209826",1
"umm_arbi",1
"dailysabah",8
"greekanalyst",2
"didyouknowvs",72
"abedalii",1
"gazasamah",1
"pashtunist",4
"zaouguichams",1
"nidalgazaui",339
"ibnamaan",1
"milatu_ibrahiim",1
"abu_tropical",1
"baqiya101",2
"__kebab_ayran__",4
"tracterrorism",25
"ismedia_3",1
"skxx82x",1
"ahmadalanssari4",1
"amirbakistani47",1
"musliimah_9_11_",1
"bringerpeace",3
"abujayyid1",2
"saeed_alhalabi7",4
"saqrqaa3d",1
"khalidi4sham3",2
"ibnqitalll",2
"child_lamb",20
"akhijibran",20
"dread_muslem",1
"arabthomness",29
"leithfadel",37
"f1ea1337",5
"syrkid",1
"abuchair1",1
"umar_khurasani",6
"sunrayeurope",1
"ans__ans",1
"nwrowser",1
"shabbirghewalla",1
"ramisafadi93",12
"maghrebimws",2
"marquardta",1
"altafhussain195",1
"ihatealsaud",1
"abu_ibrahim32",1
"absialbaghdadi",5
"c36__abh",1
"lion_faisal",15
"maghrebimwss",8
"aejkhalil",12
"mailonline",5
"nutsflipped_z_1",1
"avuxeni_",1
"j_top_shelf",1
"sputnikint",6
"mrsandman147",1
"bi_defense",1
"scottienhughes",1
"realdonaldtrump",7
"lanurse1",1
"stateofukraine",1
"julianroepcke",23
"lompemann",1
"thearabsource",21
"abduhark",28
"ajarabic",3
"alghadalarabi",1
"mediarootsnews",1
"sarbarzi",1
"dxk16",1
"putrisyarqy17",1
"aliramyz",3
"ebrahym2039",2
"eplc16",1
"ifayaz",3
"adhleem",1
"ishaaqnewton",3
"iyad_elbaghdadi",25
"ladonnarae53",9
"wayf44rer16",1
"majertenyyyi",1
"ishaaqnewtonξuganda",1
"imtiazislamkhan",4
"islamca8",1
"akata_politik",2
"freeoursisters1",14
"harunmaruf",3
"omarkhattabharu",1
"mahfujhindi",2
"victoryseries1",1
"ajenews",20
"andalusigranada",4
"revolutionsyria",30
"amaramarasingam",5
"crimesofus",2
"crimesofbrits",1
"maxboot",2
"sshx_m",1
"johndatripp3r",1
"iscomedygold",1
"_____caliph____",1
"laughwithmeh27",1
"warontherocks",1
"gerfingerpoken",1
"ibdinvestors",1
"ibrahimh_",1
"skx90x",1
"_ummsayfullah_",5
"grayfr0",1
"two_umm",3
"davidols",1
"learnsomethlng",2
"qashrinaazri",1
"ms_whitekitten_",2
"bintsannd",1
"j_eielamiya5",1
"reynaldo_vegas1",1
"muhammad1187",1
"bssjd1",1
"redbandanna11",1
"mujahid_deen6",1
"___khilafah___",1
"wilayatbarkah",1
"greatisnation97",1
"don85375",1
"bbcworld",5
"cyanidemadrid",2
"dkimball12",4
"darealsinbad",1
"hamzabosnawi",1
"muslimwitness4",1
"nextbee23",1
"ks40a45981",1
"free_media_hub",5
"khawarijcrucifi",2
"dyk_history",2
"atheistinformer",1
"abuayisha28",3
"nocommiesplease",1
"godlesshussar",1
"themightywu22",1
"alsaudthejews",2
"abu_yusef90",1
"akaomar157",1
"youtube",11
"elwalaawalbaraa",1
"mindv1sion",1
"sheikhquotes",1
"ac360",1
"timeworld",2
"m_seloom",5
"qassamimarwan",15
"zeropoint164",7
"skynews",4
"hanisalaad1",1
"abpnewstv",3
"ajenglish",13
"middleeasteye",44
"furcoisorin",1
"p_strickland_",1
"bbassem7",2
"moonnor27",15
"bintemergent",1
"islamicfreedom",3
"dmjolley",1
"brrreaking_news",1
"asgharbukhari",1
"arbaramzi18",1
"mustho",1
"nasheedhunter",3
"hearthasstereo",4
"thevictoryseri4",35
"faysalalsomali",1
"abdullahazam175",2
"majstar7",2
"ridvan_memishi",2
"eddie1971nyc",4
"cnni",2
"muslimah206",1
"saifak21",1
"abu__sayfillaah",1
"ahmed97shaheed",2
"newsweekeurope",2
"vali_nasr",2
"jobywarrick",1
"vicenews",16
"daily_express",1
"alternet",3
"abocomedy",1
"jewhaditm",1
"xnxmxjdnx",1
"abuhaleema156",1
"unfazedukht",1
"driftone0017",1
"richpie1804b",1
"eneyaxe",1
"hamosh84",1
"albequw",1
"salafiyyahldn",1
"9_11musliimah",1
"ajplus",2
"buzzfeednews",1
"towersight",1
"alex_de_m",2
"oirspox",4
"sparksofirhabi3",67
"juliaarciga",1
"shamireviver",1
"ummsalma38",1
"jamac78316414",1
"whoamidude",19
"slh_btr15",2
"sumal_30",1
