"","degree(ats.graph, v = V(ats.graph), mode = ""out"", loops = TRUE, normalized = FALSE)"
"GunsandCoffee70",49
"YazeedDhardaa25",76
"BaqiyaIs",22
"abubakerdimshqi",54
"WhiteCat_7",182
"warreporter2",190
"al_nusra",13
"abuhanzalah10",21
"Bajwa47online",60
"AsimAbuMerjem",282
"AbuLaythAlHindi",4
"abdlrhmn15",100
"MaghrabiArabi",444
"NaseemAhmed50",250
"CXaafada2",69
"maisaraghereeb",65
"Abu_Azzzam25",130
"darulhijrateyni",32
"BilalIbnRabah1",20
"JoinISNation102",23
"abuhumayra4",146
"fahadslay614",11
"ismailmahsud",87
"06230550_IS",43
"Alwala_bara",79
"bintraveller",2
"RamiAlLolah",385
"mobi_ayubi",1062
"QassamiMarwan",70
"Al_Battar_Engl",20
"Witness_alHaqq",97
"warrnews",618
"AbuNaseeha_03",81
"_IshfaqAhmad",425
"Uncle_SamCoco",1593
"MaghrebiQM",87
"ansarakhilafa",16
"Fidaee_Fulaani",189
"Battar_English",34
"AbdusMujahid149",10
"1515Ummah",65
"newerajihadi61",4
"mustaklash",4
"ManKhalfahum",4
"grezz10",45
"MhzBnt",38
"FidaeeFulaani",80
"WarReporter1",710
"ks48a174031",12
"mustafaklash56",11
"dieinurage29__7",12
"baaqiya_01",30
"lNSlDEWAR",73
"moustiklash",57
"MilkSheikh2",78
"klakishinki",29
"JohnsonsBot",14
"432Mryam",61
"c0n0fj1had4_",12
"DabiqsweetsMan",15
"Dieinurage308",12
"abuayisha102",6
"EPlC24",93
"Freedom_speech2",63
"thefIamesofhaqq",114
"IbnKashmir_",212
"Abu_Ibn_Taha",24
"Baqiyah_Khilafa",111
"MaghrebiHD",43
"alamreeki4",61
"Jazrawi_Joulan",18
"wayyf44rer",16
"abuayisha108",42
"squadsquaaaaad",89
"abutariq040",111
"MaghrebiQ",12
"sonofshishan",15
"safiyaimback",46
"wayf44rerr",204
"DawlaWitness11",57
"Jazrawi_Saraqib",64
"MaghrebiWM",71
"k_kid04",1
"abutariq041",40
"saifulakhir",15
"emran_getu",1
"war_analysis",115
"melvynlion",627
"Nidalgazaui",92
"al_zaishan10",3
"ro34th",201
"Suspend_Me_fags",35
"Afriqqiya_252",11
"murasil1",85
"btt_ar",13
"__alfresco__",210
"st3erer",74
"AbuMusab_110",65
"kIakishini5",7
"freelance_112",14
"nvor85j",5
"Mountainjjoool",42
"wayff44rer",5
"khalidmaghrebi",0
"seifulmaslul123",0
"cheerleadunited",0
"ibnnabih1",0
"muwmedia",0
"dawlat_islam7",0
"khalidmaghrebi_",0
"polder_mujahid",0
"abuw_ukasyah",0
"polder_mujaahid",0
"abuizzadeen2",0
"abdirahmanbash2",0
"ansardeenfront",0
"a8531",0
"emerat_aq_islam",0
"_khalidmaghrebi",0
"abuhamzaneh",0
"50w30",0
"jn_irhabiyya_97",0
"aba_m0hammed",0
"giimedia_ch004",0
"yazeeddhardaa25",0
"ibn_nuhas",0
"jazrawi_uod",0
"striv3ride",0
"afroqaqaisback",0
"baqiya58",0
"umulbanat1",0
"aljabarti22",0
"ummaysha20___",0
"abtigood",0
"asadalkanadi10",0
"bintrose33",0
"abuhaleema28",0
"skxxx50",0
"_muslimah1___",0
"jasonphedo",0
"aljabali23",0
"abdullahkayaniw",0
"checkcontentt",0
"skxx51",0
"striv3ric",0
"war_reports",0
"abuyaqub6",0
"alwalawalbara12",0
"cnn",0
"anti__terrorist",0
"followthehaqqq",0
"3diyah1000",0
"tawheed1_is",0
"ironmuhajir2",0
"jundhullah14",0
"jazrawi_missk",0
"pieternanninga",0
"uygaraktas",0
"muslimprisoners",0
"3bdulkaed6r",0
"syrializer",0
"ak47_pk",0
"spamci16",0
"flea1337",0
"1436rpg",0
"mustafaklashin7",0
"joinisnation78",0
"abubakrmuwahid",0
"jazrawi_ouud",0
"alarabiya_eng",0
"jtmharreh",0
"bintrosie34",0
"ramiallolah",0
"sakirkhader",0
"zaheralali00",0
"_mafalde_",0
"the_joker_dc",0
"anjemchoudary",0
"fujiomaiko",0
"isabatubaghdadi",0
"truthfulfamily2",0
"potus",0
"markito0171",0
"ejmalrai",0
"akhmad_john",0
"rahimred1",0
"islamiceyes",0
"aimanofarabia",0
"ayyx3",0
"_ummhussain",0
"iraqisuryani1",0
"w_jurjia",0
"pray4pal",0
"khadijavf",0
"joinisnation82",0
"princessbaqiya2",0
"jazrawi_3uud",0
"endoftimes411",0
"wakasfahad10",0
"lionerr20",0
"skjfgyi7r6",0
"w97788",0
"_croxetti_",0
"proj32",0
"wilayathalab",0
"abu_q_14",0
"abu_adamm",0
"netzpolitik",0
"amanlikeme",0
"eyeonmilitant",0
"jihadology_net",0
"skxx59",0
"ibnu_noran8",0
"etdz101010",0
"haditha21",0
"conflicts",0
"rt_com",0
"mrrman2",0
"shooter19681",0
"applesux",0
"drovera",0
"sean_ulama",0
"terror_monitor",0
"adnan04ar01",0
"danieleraineri",0
"wilayatninawa",0
"coalitionhaqq",0
"abu_naoufal",0
"shammlly12",0
"somaliyyah",0
"11_haqqprevails",0
"doammuslims",0
"hk2307",0
"hxhassan",0
"adjamessaoud",0
"theeconomist",0
"hadialabdallah",0
"oooharray",0
"journalist_omar",0
"tawheednetwrk",0
"ummumarah2",0
"abuhanzalah2",0
"khaled_siddique",0
"abdussamad_aif",0
"ukhty_08",0
"uanigeri",0
"ozwitness",0
"alekskhlebnikov",0
"carolinajose19",0
"ninjamelonn",0
"taylor_davis11",0
"rsyriancivilwar",0
"krrisstenx3",0
"wtfbrou",0
"katielobosco",0
"g_beeazy",0
"iucanalysts",0
"basmirnes",0
"jsiwat",0
"belalmd12",0
"reuters",0
"almuwahideen__",0
"desyracuse",0
"khalidi4sham_",0
"brotherjalaal",0
"malcolmite",0
"jazrawi_3uuud",0
"rashaelass",0
"wikileaks",0
"jazrawi_3ooud",0
"muhammad_andals",0
"thestudyofwar",0
"bajwa47online",0
"daudoo",0
"finriswolf",0
